tenantIdentifier,macroeconomicVariableName,macroeconomicVariableDescription,macroeconomicVariableType,macroeconomicVariableUnits,macroeconomicVariableCurrency,macroeconomicVariableFactor,scenarioStudioMnemonics,databuffetMnemonic
moodys,USA ND House Price Index FHFA Purchase-Only,,,Level,,,FHOFHOPIPOQ_ND,FHOFHOPIPOQ.ND
moodys,USA NE House Price Index FHFA Purchase-Only,,,Level,,,FHOFHOPIPOQ_NE,FHOFHOPIPOQ.NE
moodys,USA NH House Price Index FHFA Purchase-Only,,,Level,,,FHOFHOPIPOQ_NH,FHOFHOPIPOQ.NH
moodys,USA NJ House Price Index FHFA Purchase-Only,,,Level,,,FHOFHOPIPOQ_NJ,FHOFHOPIPOQ.NJ
moodys,USA NM House Price Index FHFA Purchase-Only,,,Level,,,FHOFHOPIPOQ_NM,FHOFHOPIPOQ.NM
moodys,USA NV House Price Index FHFA Purchase-Only,,,Level,,,FHOFHOPIPOQ_NV,FHOFHOPIPOQ.NV
moodys,USA NY House Price Index FHFA Purchase-Only,,,Level,,,FHOFHOPIPOQ_NY,FHOFHOPIPOQ.NY
moodys,USA OH House Price Index FHFA Purchase-Only,,,Level,,,FHOFHOPIPOQ_OH,FHOFHOPIPOQ.OH
moodys,USA OK House Price Index FHFA Purchase-Only,,,Level,,,FHOFHOPIPOQ_OK,FHOFHOPIPOQ.OK
moodys,USA OR House Price Index FHFA Purchase-Only,,,Level,,,FHOFHOPIPOQ_OR,FHOFHOPIPOQ.OR
moodys,USA PA House Price Index FHFA Purchase-Only,,,Level,,,FHOFHOPIPOQ_PA,FHOFHOPIPOQ.PA
moodys,USA PR House Price Index FHFA Purchase-Only,,,Level,,,FHOFHOPIPOQ_PR,FHOFHOPIPOQ.PR
moodys,USA RI House Price Index FHFA Purchase-Only,,,Level,,,FHOFHOPIPOQ_RI,FHOFHOPIPOQ.RI
moodys,USA SC House Price Index FHFA Purchase-Only,,,Level,,,FHOFHOPIPOQ_SC,FHOFHOPIPOQ.SC
moodys,USA SD House Price Index FHFA Purchase-Only,,,Level,,,FHOFHOPIPOQ_SD,FHOFHOPIPOQ.SD
moodys,USA TN House Price Index FHFA Purchase-Only,,,Level,,,FHOFHOPIPOQ_TN,FHOFHOPIPOQ.TN
moodys,USA TX House Price Index FHFA Purchase-Only,,,Level,,,FHOFHOPIPOQ_TX,FHOFHOPIPOQ.TX
moodys,USA UT House Price Index FHFA Purchase-Only,,,Level,,,FHOFHOPIPOQ_UT,FHOFHOPIPOQ.UT
moodys,USA VA House Price Index FHFA Purchase-Only,,,Level,,,FHOFHOPIPOQ_VA,FHOFHOPIPOQ.VA
moodys,USA VT House Price Index FHFA Purchase-Only,,,Level,,,FHOFHOPIPOQ_VT,FHOFHOPIPOQ.VT
moodys,USA WA House Price Index FHFA Purchase-Only,,,Level,,,FHOFHOPIPOQ_WA,FHOFHOPIPOQ.WA
